标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
英雄联盟最帅操作合集（共34位角色）【含教学】,灵感z,BV1N8411N7E1,2023-01-12 03:24:01,31:44,798,8526,285666,6547,电子竞技,"英雄联盟,教学,英雄操作,LOL,帅,合集,手残","应观众评论将视频做了整合
前排提示：
1.所有操作均为2023.1.1后训练营手打
2.该视频以娱乐为主，不是教大家上分，不需要纠结实用问题
3.技能刷新开关不会让黑掉的技能亮起来，列如石头人大招途中不能闪现，是黑的，不是cd问题。为了搞清原理有时同一个操作会进行几十次反复操作，有忘关技能刷新，请谅解
4.up没有段位，骨灰级老玩家
5.祝大家新年快乐❤"
《惩 戒 之 键》,阳光男孩小丑熊,BV1mw411t7dn,2023-12-15 20:27:17,5:19,13966,1108285,12038926,250771,电子竞技,"LOL,英雄联盟,电子竞技,电竞武林大会,电竞武林大会第四期",啊啊啊啊啊啊啊
你回到了10年前的英雄联盟，但是峡谷里已经没有玩家了……【网络梦核】,国电武术馆馆长,BV1zy411v7Nb,2024-08-27 19:49:37,12:1,8733,42591,1632952,10776,电子竞技,"怀旧,LOL,回忆,英雄联盟,召唤师,电子竞技,MOBA,桌面电影,赛博梦核",你回到了10年前的英雄联盟，但是峡谷里已经没有玩家了……
破大防，被狙击手万豪爆杀纱爽局，王慕霸被邦邦两拳做掉，气的怒砸桌子，还要被对面上嘴脸嘲讽,暗夜千易,BV1pzZTYkE5v,2025-03-27 02:56:44,10:36,302,282,17378,16,电子竞技,"英雄联盟,电子竞技,霸哥,直播录像,lol",@陳冠希本人- 万豪在这
英雄联盟LOL王者教学：赏金猎人女枪,lol超神解说lol,,1970-01-01 08:00:00,,0,0,305,0,,,
山海君与一酱双排！一个菜、一个看不出队友菜、还有一个再屏幕外面憋着坏！一酱结束游戏天塌了！,秋夜悬笔,BV1ZeZgYkETr,2025-03-27 13:34:31,28:50,1,50,1987,8,电子竞技,"英雄联盟,韩服,MOBA,LPL,聒噪的山海君,楚钧艾克,1酱,2025LPL第二赛段,LPL激励计划第二赛段",
都2025年了，“那万一赢了呢”还在激励着召唤师！4打5年度绝地翻盘局奉上！,慎ninja,BV1XVQRYVE8h,2025-03-19 15:50:26,30:49,999,4579,92046,449,电子竞技,"自制,英雄联盟,慎,精彩集锦,暮光之眼,上单,腰子,lol,拉扯,欢迎回归英雄联盟竞技场","我们意念合一，我是真的很需要你的三连
爱你爱你爱你
歌单在扣扣音乐：慎ninja
需要零食的宝子们可以支持一下，好视频配好零食，品质都有保证！"
一枪贯穿星辰！！LOL还原潘森贯星长枪的真正威力！哦哦哦哦哦哦哦哦哦！[有点骚东西],上海滩许Van强,BV1kh411L72a,2023-05-02 16:40:58,11:53,5195,66005,1354103,5215,电子竞技,"搞笑,英雄联盟,电子竞技,潘森,套路,MOBA,intel,13代酷睿HX,OMEN暗影精灵9,2023英雄联盟MSI",你还在担心你的性能太差，操作不利索吗？快用OMEN暗影精灵9游戏本搭载第十三代英特尔® 酷睿™ HX 处理器，超强芯生！一键爆炸伤害根~~本~~没~~有~~问题~~~
【LOL】谁是联盟最美皮肤？(2024),Dumb-Frog,BV1Gb421n7Ly,2024-06-30 01:22:15,8:43,2457,8946,407228,3290,电子竞技,"LOL,英雄联盟,皮肤,电子竞技,游戏杂谈,MOBA,玉剑传说,灵魂莲华,幻灵战队,2024LPL夏季赛,2024LPL激励计划第三期",
【单排爆爆】《lol手游》金克丝对线希维尔！,单排爆爆,BV1LDZTYNEbR,2025-03-27 10:00:00,13:41,27,121,3159,10,手机游戏,"MOBA,金克丝,教程攻略,英雄联盟手游",
英雄联盟LOL王者教学：德玛西亚之力盖伦,lol超神解说lol,,1970-01-01 08:00:00,,0,0,510,0,,,
这就是韩服王者的支援速度吗？韩服最强王者组团战集锦#114,yizhilugou,BV1u89tYvEH3,2025-03-02 19:03:56,16:24,1148,11560,377565,1223,电子竞技,"英雄联盟,韩服,电子竞技,王者,精彩集锦,团战,MOBA,LPL","这就是韩服王者的支援速度吗？韩服最强王者组团战集锦#114

BGM:

TrungHieu - Homesick -UXN Release

Ahxello - Frisbee

Starix - Back Again

Electro-Light - Discovery

DuGong - Cody Sorenson -Forever

TheFatRat - Origin"
15.5+6设计师大脑解剖—2个版本强行拆成6个版本的改动？一个装备告诉你今年的设计师是如何摸鱼的！,爱失误的小菊,BV1DUZgYAEdN,2025-03-27 11:33:46,8:8,50,592,9748,70,电子竞技,"英雄联盟,大乱斗,装备,新版本,设计师,狂徒,lol,破甲弓,15.6,分享游戏故事,整点电子榨菜第19期",需要乱斗复盘的彦祖+v：jzx758601960
小超梦：大师绝活征服者吸血鬼被大铁锤，锤得逐渐丧失理智！有没有简单的英雄？“那你真把我问倒了！”,空白的心丶z,BV1BDoWYLEc4,2025-03-25 11:28:27,11:14,267,1653,74022,65,电子竞技,"LOL,英雄联盟,剑魔,小超梦,腕豪",超梦峡谷之巅冲第一：https://www.huya.com/257085
LOL：这5个有老公的女英雄，个个顶级颜值，玩家却把她们叫“老婆”,春秋君-,BV1cT411t7d4,2023-05-11 21:07:49,4:35,871,10548,767548,11087,网络游戏,"游戏,LOL,英雄联盟,游戏剧情,游戏杂谈,女英雄,MOBA,背景故事,符文之地,万物皆可游戏","盯盯~
你一定在找赛娜~
没见过有人管赛娜叫老婆QAQ"
诺手0-11-0，王慕霸史上最惨对局，菜的发昏，连忙给队友道歉，给队友坑哭了都,暗夜千易,BV1NVoeYHEYK,2025-03-26 17:16:19,8:42,420,550,40391,65,电子竞技,"英雄联盟,电子竞技,霸哥,MOBA,直播录像,lol",-
英雄联盟LOL王者教学：法外狂徒男枪,lol超神解说lol,,1970-01-01 08:00:00,,0,0,707,0,,,
【技能解析】控枪原理及基本枪械介绍 厄斐琉斯（上）,上单老祖,BV1sP4y187rG,2021-10-04 19:45:11,24:23,6284,89318,1956784,30810,电子竞技,"英雄联盟S11,电子竞技,英雄联盟,LOL,厄斐琉斯,教学","做这个玩意可太累了，全程一人制作，尽量把东西编排好，讲清楚
我觉得应该是全网解析最清晰的视频了
大伙如果看懂了，麻烦给个三连，给点动力吧！求求了"
LOL：这5个有老公的女英雄，个个顶级颜值，玩家却把她们叫“老婆”,春秋君-,BV1cT411t7d4,2023-05-11 21:07:49,4:35,871,10548,767548,11087,网络游戏,"游戏,LOL,英雄联盟,游戏剧情,游戏杂谈,女英雄,MOBA,背景故事,符文之地,万物皆可游戏","盯盯~
你一定在找赛娜~
没见过有人管赛娜叫老婆QAQ"
我一般不会站在亚索这一边,峡谷混学家,BV1KDPeerEwh,2025-02-25 17:50:48,5:16,1136,42926,837043,1553,电子竞技,"搞笑,娱乐,英雄联盟,下饭,上单,石头人,lol,英雄联盟新春会,bilibili新春季",三连三连三连三连三连三连三连三连！！！
残血精彩操作集锦 不残血不会玩系列 LOL英雄联盟,TAKERA,BV1EW411u7AU,2018-03-29 16:13:24,4136:42,163088,3255,1379504,6299,电子竞技,"英雄联盟,LOL,League of Legends","https://www.youtube.com/channel/UCDxIZpRvLQlIhK_1C9AJ1Rg
相关游戏: 英雄联盟
简介补充: -"
当WBG 1-0 BLG后，虎扑现状,杰杰杰卡,BV1UXoiYaEgy,2025-03-26 19:02:43,2:27,103,4191,160882,115,电子竞技,"LOL,英雄联盟,BLG,LPL,小虎,Bin,WBG,必剪创作,原神UP主激励计划,原神5.5UP主激励计划",-
英雄联盟LOL王者教学：影流之镰凯隐,lol超神解说lol,,1970-01-01 08:00:00,,0,0,567,0,,,
【Uzi】怒刚RNG：钱没还！前几年说慢慢换，现在说还清了？不要脸到了极致，我已经起诉了！,澡酱的日常,BV15aoeYuEfG,2025-03-26 16:33:49,1:50,186,10066,410722,484,电子竞技,"英雄联盟,电子竞技,精彩集锦,MOBA,LPL,乌兹,RNG,lol,Uzi,LPL激励计划,LPL激励计划第二赛段",【Uzi】怒刚RNG：钱没还！前几年说慢慢换，现在说还清了？不要脸到了极致，我已经起诉了！
当我把王者的鸡爪流带入LOL，九个人追着骂！,梦怜说-游戏杂谈,BV1H1421k7AY,2024-07-04 18:01:59,8:59,3525,60544,2130158,7118,网络游戏,"搞笑,英雄联盟,下饭,王者,鸡爪流",
Synapse主播精华时刻#2648 - LOL英雄联盟,TAKERA,BV1CmZPYzEQn,2025-03-27 02:05:08,10:27,1,63,1358,0,电子竞技,"英雄联盟,MOBA",https://www.youtube.com/watch?v=E2aUcPjd4Po
【电竞爽文】9：依然是他！Faker S14第五冠全记录！LOL最高的山，最长的河，最高最长的城墙！,电竞小太阳_,BV1BXS2YoEVN,2024-11-03 18:47:26,5:17,1256,14094,510479,3261,电子竞技,"BLG,T1,电子竞技,LPL,LCK,Faker,英雄联盟S14,英雄联盟S14征稿活动","看完决赛久久不能平静，说不出是什么感觉。睡了四个多小时爬起来，把今年做过的所有Faker的视频过了一遍，整理出了这期时长5分钟的，《Faker S14第五冠全记录》。
视频发布前，阳妹是本期第一个观众，她说：感觉更多是遗憾吧，遗憾我们再也没机会以全华班之姿击败30岁之前的Faker。
这个男人太无解了，但完全没有记恨他的理由。
面对他的id，只有尊重。"
LOL为什么越来越少人玩了,简单电竞ovo,BV1rNQBYyECF,2025-03-17 18:52:08,4:59,69,221,14909,33,电子竞技,"LOL,网游,英雄联盟,刀塔,弃坑,MOBA,维克托,LPL,坐牢,瓦洛兰特",
英雄联盟LOL王者教学：盲僧李青,lol超神解说lol,,1970-01-01 08:00:00,,0,0,638,0,,,
《lol手游解说》亚索就是要逆风才能玩起来 双风还能放出来,杨逍逍i,BV1ME4m197bs,2024-07-25 18:58:13,14:3,704,8938,294945,1290,手机游戏,"疾风剑豪,LOL手游,英雄联盟手游,必剪创作,英雄联盟手游二周年",-
【LOL：我真是联盟职业选手】1-199 全球总决赛的颁奖舞台上。主持人问道：现在你终于拿到了属于你的奖杯，属于你的FMVP，此时此刻，你最想做的事情是什么？林,漫话书声,BV11QRYYUEUA,2025-03-09 21:10:22,1525:34,6,84,9187,195,动画综合,"英雄联盟,电子竞技,MOBA",《LOL：我真是联盟职业选手》1-199 全球总决赛的颁奖舞台上。主持人问道：现在你终于拿到了属于你的奖杯，属于你的FMVP，此时此刻，你最想做的事情是什么？林
流水下滑，被玩家狂喷！LOL手游如今为何却越来越火了,三普男孩狗哥,BV1MVXsYdE1m,2025-03-22 19:14:38,5:47,998,1685,126062,228,手机游戏,"LOL,腾讯,MOBA,LOL手游,英雄联盟手游,万物皆可游戏",开服日活2700万，首月流水11亿！LOL手游如今怎么样了
为什么99%的人还没搞懂英雄联盟是一款什么游戏？连最基本的游戏规则都搞不懂,n宝QvQ,BV1eooWY3ETt,2025-03-25 12:13:58,12:11,77,987,37315,1299,电子竞技,"游戏,LOL,英雄联盟,第一视角,电子竞技,游戏杂谈,LOL英雄联盟,MOBA,教程攻略,细节教学,MVP与躺赢狗","感谢观看 希望对你有所帮助 
最后有一句话忘记说了 在你玩游戏思考 慢慢提升自己的过程中 其实也会在从中锻炼自己的学习能力 提升自己的学习能力。一个人的学习能力对人的帮助和意义是很大的"
一键35634伤害！LOL位面数值大崩坏！这就是百倍界王拳？！【有点骚东西】,上海滩许Van强,BV1qm4y1y7KX,2023-04-23 16:51:07,11:53,16658,173559,2673897,24807,电子竞技,"搞笑,英雄联盟,电子竞技,小鬼,套路,MOBA,香蕉猫,happy猫,英雄联盟春日激励,泰裤辣",你的空间好冷清哦，踩踩，记得回踩哦！
开挂的人生，曾被质疑打假赛，决赛之王Gala的梦幻征程【联盟那些事儿】,LOL丶诺诺,BV1w34y1j7BS,2022-06-08 11:33:36,16:18,7441,72632,1628593,10668,电子竞技,"2022LPL夏季赛,电子竞技,LOL,电竞,英雄联盟,RNG,Gala,MSI",如果大家喜欢我的内容的话，还请给我多多点赞三连，再次感谢大家了0.0
【警告⚠️】lol最恐怖的彩蛋：召唤超级大蜘蛛，伤害越高 越吓人！,葡萄的叮当猫,BV1gw411M7BE,2023-11-04 14:35:23,4:30,2009,39842,2136980,2649,电子竞技,"LOL,BUG,英雄联盟,彩蛋,电子竞技,机制,游戏鉴赏家,电竞武林大会,电竞武林大会第三期","投稿用户：@WeiDream_  
刚打开这投稿的时候给我吓一跳

Music：Senna,the Redeemer - The Crystal Method (赛娜主题曲)

觉得有意思的还请多多支持~
经常更新好玩的，欢迎关注~

版本13.21 (2023/11/4)"
《设置教学》lol千万不要再随意设置了！看完这个设置分享让你的游戏体验变得更好！,好狠的绿光,BV1EJ411U77q,2019-11-15 23:02:39,15:37,5315,101861,2007347,87170,电子竞技,"英雄联盟S9,电子竞技,英雄联盟,创作新秀奖,LOL",三连一波秋梨膏
LOL为何凉得如此彻底？十年老玩家吐露心声,梦怜说-游戏杂谈,BV1ff421q7Wu,2024-07-31 08:00:00,6:33,867,3096,223636,594,网络游戏,"英雄联盟,电子竞技,游戏杂谈,MOBA,LPL,万物皆可游戏",-
《lol手游解说》兰博中期的神 一管喷火先攻偷200,杨逍逍i,BV1WSXUYEEZ1,2025-03-01 18:00:00,11:49,203,3051,103565,245,手机游戏,"游戏解说,英雄联盟手游",-
【电竞爽文】9：依然是他！Faker S14第五冠全记录！LOL最高的山，最长的河，最高最长的城墙！,电竞小太阳_,BV1BXS2YoEVN,2024-11-03 18:47:26,5:17,1256,14094,510479,3261,电子竞技,"BLG,T1,电子竞技,LPL,LCK,Faker,英雄联盟S14,英雄联盟S14征稿活动","看完决赛久久不能平静，说不出是什么感觉。睡了四个多小时爬起来，把今年做过的所有Faker的视频过了一遍，整理出了这期时长5分钟的，《Faker S14第五冠全记录》。
视频发布前，阳妹是本期第一个观众，她说：感觉更多是遗憾吧，遗憾我们再也没机会以全华班之姿击败30岁之前的Faker。
这个男人太无解了，但完全没有记恨他的理由。
面对他的id，只有尊重。"
《lol手游解说》国一永恩玩的也憋屈 但熟练度可以让他成为你手中的t0,杨逍逍i,BV1v7UQYAEAR,2024-11-21 18:13:55,15:28,720,7234,308059,1091,手机游戏,"LOL手游,英雄联盟手游,必剪创作",-
真就这么快乐？盘点S14大乱斗最新套路！战斗爽！爽！爽！【有点骚东西】,上海滩许Van强,BV1MK4y1q7D4,2024-01-28 18:59:00,8:52,2409,41066,1496413,3926,电子竞技,"搞笑,LOL,娱乐,英雄联盟,电子竞技,盘点,新赛季,MOBA,极地大乱斗,英雄联盟新春会",我提议！把大乱斗里的所有提莫都送去帕鲁世界当苦力！谁赞成谁反对？
起小点TOP10 2022年度版：最难忘的精彩操作TOP20,是大腿,BV1nx4y177Rw,2023-01-28 17:00:00,13:3,2392,30415,1119125,3770,电子竞技,"英雄联盟新春激励,英雄联盟,游戏集锦,电子竞技,LOL,游戏视频,卡莎,薇恩,青钢影,萨科",投稿邮箱： sucai@shidatui.com， 欢迎大家踊跃投稿！所有投稿邮件都会看的！请耐心等待回复~wb@是大腿腿酱！
今天心情不太好，朋友说：玩把诺手就好了,三桥qzg,BV1Kf99YrEUi,2025-03-08 16:00:00,6:45,420,49922,860111,1056,网络游戏,"英雄联盟,电子竞技,上单,MOBA,诺手,万物皆可游戏",
LOL最强世界BOSS！腕豪一拳团灭挑战！【有点骚挑战】,上海滩许Van强,BV1Ff4y1H7rX,2021-08-27 10:55:03,8:58,8399,167333,2189376,15818,电子竞技,"英雄联盟10周年,电子竞技,英雄联盟,搞笑,上单,游戏头号玩家,龙珠,圣斗士星矢,JOJO,套路",这种事实对本人来说意义重大，相信对这个世界也是有一定意义的。 真实伤害的发生，到底需要如何做到，不真实伤害的发生，又会如何产生。 既然如何， 现在，解决真实伤害的问题，是非常非常重要的。 所以， 既然如此， 这种事实对本人来说意义重大，相信对这个世界也是有一定意义的。本人也是经过了深思熟虑，在每个日日夜夜思考这个问题。真实伤害因何而发生？既然如何，真实伤害，到底应该如何实现。生活中，若真实伤害出现了，我们就不得不考虑它出现了的事实。
【万恶之源】当年卢姥爷和PDD在一起打LOL的时候！！！,左岸派的時間,BV1fb411K7bZ,2019-04-13 18:18:49,10:58,9562,100144,5451534,52228,搞笑,"搞笑视频,逗比,魔性,娱乐,高能,全程高能","https://www.douyu.com
斗鱼官方说的：卢姥爷将要和PDD一起回归斗鱼！！！
希望是这样！！！
还有卢本伟ｎｂ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
控制变量对照实验得出《LOL手游是如何控制你的胜率》,关羽骑摩托78,BV19KURYMEmF,2024-11-22 17:00:00,14:14,600,5349,174884,1061,电子竞技,"LOL手游,英雄联盟手游",
是他们告诉我们英雄联盟有166个英雄 不敢选玩什么英雄联盟,小海电竞馆,BV1xVUNYnEou,2024-11-13 16:49:52,10:3,189,2571,217654,233,电子竞技,"英雄联盟,电子竞技,adam",是他们告诉我们英雄联盟有166个英雄 不敢选玩什么英雄联盟
水晶哥看2025年破亿神曲 听到第一首满脸不理解：米太好挣了 摆张二次元图片就能破亿！,游戏BBQ,BV1gPZMYxEw8,2025-03-27 10:55:47,7:31,99,372,56086,69,电子竞技,"歌曲,神曲,二次元,英雄联盟,电子竞技,LPL,水晶哥,破亿神曲","水晶哥直播间：huya222523
大家点赞收藏三连，充电5B币即可获得BBQ粉丝牌哦！"
一Q瞬回3000血！新英雄最骚血魔套路，在世真龙！【有点骚东西】,上海滩许Van强,BV16t421W7Xb,2024-02-04 17:34:08,9:47,2307,50114,1190254,4571,电子竞技,"搞笑,LOL,娱乐,高能,英雄联盟,电子竞技,新英雄,MOBA,英雄联盟新春会,斯莫德",快过年了！我要给大家抽大大大大奖！！！
版本T0吸血鬼教学 细节教学 操作简单 思路清晰 学会随便上大师（对线蛮王、格温、吸血鬼、瑞文）,n宝QvQ,BV1SCZMYZEJe,2025-03-27 08:11:13,72:59,3,66,2482,12,电子竞技,"游戏,LOL,吸血鬼,第一视角,游戏杂谈,LOL英雄联盟,弗拉基米尔,教程攻略,LOL吸血鬼,细节教学,MVP与躺赢狗",点个赞八 一起加油 简单的一天钻石局教学
是人都能挡诺手E，lol新模式有限火力，战斗倍速只有0.25倍，一秒三扭都是基本操作，这就是职业选手的视角吗？,谭皮革打游戏,BV1RSk9Y4Eik,2024-12-24 16:00:00,4:33,185,7765,367915,195,网络游戏,"朋友,搞笑,SOLO,LOL,英雄联盟,电子竞技,新模式,剑姬,MOBA,分享我的2024电竞瞬间",真的牛逼坏了兄弟们
拳头CEO离职MMO难产 LOL宇宙近两年有多惨？,顽强的Z,BV1hniqYDEbc,2024-12-08 18:00:00,12:46,2009,5532,322349,846,网络游戏,"英雄联盟,网络游戏,电子竞技,游戏杂谈",拳头苦心经营多年的LOL宇宙到底出现了什么问题？
弹幕：听说你打不过格温！？,BBGG丶狮子喵,BV1qGoqYUE9z,2025-03-26 17:52:31,3:5,118,7457,127446,103,电子竞技,"搞笑,LOL,英雄联盟,电子竞技,狮子狗,MOBA,万物皆可游戏",弹幕：听说你打不过格温！？
LOL经典误区：体型变大让对面的技能平A选不到队友,寒瞳不是喊痛,BV17r421w7Kz,2024-05-30 18:05:00,7:59,487,10557,622988,2553,电子竞技,"英雄联盟,冷知识,设计师,电子竞技,MOBA,机制,lol,电竞武林大会,电竞武林大会第七期",做个小菜先
永别了召唤师！拳头为何要抛弃这个经营许久的设定？,联盟进化史阿灰,BV1bTqGY7E7S,2024-12-10 17:07:48,5:5,970,28436,1290048,4321,电子竞技,"LOL,英雄联盟,召唤师,电子竞技,游戏杂谈,琴女,游戏资讯,MOBA,联盟进化史,英雄联盟双城激励计划",永别了！召唤师！
LOL经典误区：体型变大让对面的技能平A选不到队友,寒瞳不是喊痛,BV17r421w7Kz,2024-05-30 18:05:00,7:59,487,10557,622988,2553,电子竞技,"英雄联盟,冷知识,设计师,电子竞技,MOBA,机制,lol,电竞武林大会,电竞武林大会第七期",做个小菜先
控制变量对照实验得出《LOL手游是如何控制你的胜率》,关羽骑摩托78,BV19KURYMEmF,2024-11-22 17:00:00,14:14,600,5349,174884,1061,电子竞技,"LOL手游,英雄联盟手游",
水晶哥看2025年破亿神曲 听到第一首满脸不理解：米太好挣了 摆张二次元图片就能破亿！,游戏BBQ,BV1gPZMYxEw8,2025-03-27 10:55:47,7:31,99,371,56086,68,电子竞技,"歌曲,神曲,二次元,英雄联盟,电子竞技,LPL,水晶哥,破亿神曲","水晶哥直播间：huya222523
大家点赞收藏三连，充电5B币即可获得BBQ粉丝牌哦！"
LOL真的凉了？两个月丢失600万玩家，看不懂设计师离谱操作,PBE联盟,BV19vP3epEce,2025-02-26 09:59:10,1:4,292,4586,381580,246,电子竞技,"LOL,英雄联盟,第一视角,电子竞技,游戏杂谈,MOBA,LPL,疾风剑豪,无限火力",LOL真的凉了？两个月丢失600万玩家，看不懂设计师离谱操作
当你熟练掌握厄斐琉斯各种武器,热气re7,BV1LHqSYYEwx,2024-12-11 17:43:03,4:48,10039,139007,1143275,6970,电子竞技,"游戏,搞笑,英雄联盟,ADC",生日许的愿是可以做出更好的视频变成厉害的人。
版本T0吸血鬼教学 细节教学 操作简单 思路清晰 学会随便上大师（对线蛮王、格温、吸血鬼、瑞文）,n宝QvQ,BV1SCZMYZEJe,2025-03-27 08:11:13,72:59,3,66,2482,12,电子竞技,"游戏,LOL,吸血鬼,第一视角,游戏杂谈,LOL英雄联盟,弗拉基米尔,教程攻略,LOL吸血鬼,细节教学,MVP与躺赢狗",点个赞八 一起加油 简单的一天钻石局教学
双方大爹上单  展现精彩绝伦的对局！,LOL小超梦,BV1wg411v7F1,2022-09-30 18:13:41,4:19,523,68216,1032440,1773,电子竞技,"精彩集锦,英雄联盟LOL,英雄联盟视频,上单",
LOL玩家转DOTA2后一百场打上万古流芳,柠o檬丶,BV1SwPsepEaU,2025-02-24 14:39:22,9:4,171,844,47163,255,电子竞技,"LOL,英雄联盟,DOTA2,刀塔,撸狗,经验分享,dota,LOL转DOTA2,撸转刀,英雄联盟转刀塔",LOL一区低分大师水平，转S15转DOTA2后，两个月120场打上万古流芳，段位不高，基本入门，希望通过这期视频分享经验帮助更多希望撸转刀的玩家。
穿甲越高吸血越高！暴击越高吸血越高！一个平A吸1000多血！三件一枪崩掉小ADC之跟我刘华强拼你有这个实力吗之伤害越高吸血越高流男枪格雷福斯狂徒,加藤结衣,BV12bN8ePECG,2025-02-07 19:24:44,9:17,306,1914,125856,143,电子竞技,"游戏,搞笑,LOL,娱乐,吸血鬼,英雄联盟,套路,MOBA,鬼套路,英雄联盟新春会,bilibili新春季",我五星好市民格雷福斯今天就是要用双管炮轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各位的的钩子！轰爆在座各
无 限 火 力 现 状💕💕💕💕💕💕💕💕💕💕,弹琴煮面,BV1Zpp4eHEMe,2024-09-07 19:55:28,14:26,581,3246,406445,313,网络游戏,"LOL,娱乐,英雄联盟,现状,无限火力,数值爆炸,心之刚,2024无限火力,诚信互刚♂","BGM: 
00:00【洛天依】植物大战僵尸 - 屋顶BGM ，来源：https://www.bilibili.com/video/BV1ax411g7iu
03:55 Eagles - Hotel California
08:26 Dmitri Shostakovich - VI. Waltz 2 from Jazz Suite No. 2 (Eyes Wide Shut) (肖斯塔科维奇第二圆舞曲)
12:42 Two Steps From Hell,Thomas Bergersen - El Dor"
【lol：什麼叫折磨流选手啊！】二三英雄 1-261章节 一觉醒来你成了EDG的替补名单，没想到刚穿越就被教练阿布安排上场，想著刚,书声漫话,BV1tSyAYGEia,2024-10-20 15:12:37,3792:46,1573,2570,198900,2422,动画综合,"游戏,穿越,英雄联盟,同人小说,有声小说,电竞,EDG,推文,小说解说,小说合集",【电竞】🔥《连载p.2》💥【lol：什麼叫折磨流选手啊！】二三英雄 1-110章节 一觉醒来你成了EDG的替补名单，没想到刚穿越就被教练阿布安排上场，想著刚
英雄联盟的“凉”，是大势所趋,网管小橘,BV1wdDSYjE9S,2024-11-07 17:56:28,6:2,630,1858,151902,351,电子竞技,"原创,电子竞技,游戏杂谈,MOBA,LPL,lol,英雄联盟S14,英雄联盟S14征稿活动",
以下农的英雄放在LOL里是什么水平,wang络街溜子,BV1c2yBYwE1T,2024-10-21 14:04:08,8:52,2373,28394,612101,2738,电子竞技,"吕布,英雄联盟,韩信,王者荣耀,faker,英雄联盟S14,英雄联盟S14征稿活动",https://tieba.baidu.com/p/9214249044?share=9105&amp;fr=sharewise&amp;see_lz=0&amp;share_from=post&amp;sfc=copy&amp;client_type=2&amp;client_version=12.70.1.0&amp;st=1729489801&amp;is_video=false&amp;unique=9E42220AD24FB7043DBC9BC9676BA8B8
一口气看完LOL长篇小说《破败之咒》，超长超爽一次看过瘾！,靠脸吃饭的徐大王,BV1Nu4y1q7ru,2023-08-12 11:17:06,68:36,20301,248773,2184201,82321,电子竞技,"剧情,游戏杂谈,讲故事,背景故事,英雄联盟暑期激励计划",爆肝两周，终于完成了这期超长的视频，为大家详细解析这本33万字的英雄联盟长篇小说《破败之咒》的剧情故事，总时长有一个多小时，建议大家先收藏再慢慢观看！
《没有白让你叫爹！》,慎ninja,BV1vYo1YTEZQ,2025-03-24 18:55:54,5:24,235,6810,100088,185,电子竞技,"自制,英雄联盟,慎,精彩集锦,暮光之眼,上单,腰子,lol,拉扯,欢迎回归英雄联盟竞技场","我们意念合一，我是真的很需要你的三连
爱你爱你爱你"
差点把拳头逼疯的英雄！高光时刻全靠“歪门邪道”,联盟进化史阿灰,BV172NDeGEvx,2025-02-10 12:00:00,5:46,824,28529,986545,1550,电子竞技,"LOL,英雄联盟,电子竞技,游戏杂谈,亡灵勇士,塞恩,赛恩,亡灵战神,联盟进化史,英雄联盟新春会,bilibili新春季",曾经瞪眼秒人狂，如今送死拆塔王！战斗！爽！
2018英雄联盟配音秀，刀妹开口，全场震撼，重燃我的LOL斗志！,坤哥爱剪辑,BV1rE411o7Pg,2019-10-11 17:14:17,3:6,10514,127911,6413274,40706,电子竞技,"网络游戏,配音,LOL,英雄联盟LOL,配音秀,精彩集锦,LOL配音,游戏,游戏配音",2018英雄联盟配音秀，刀妹开口，全场震撼，重燃我的LOL斗志！
献给LOL和王者玩家的DOTA2教学【齐天大圣&amp;孙悟空】,就是锐Ray,BV1oN4y1F7ut,2022-08-25 14:00:00,6:59,6943,128055,2845320,20491,电子竞技,"游戏轻教学,齐天大圣,英雄联盟,王者荣耀,DOTA2,搞笑,MOBA游戏,电竞赛事,阿灵顿major,电子竞技","每款游戏各有其魅力，关注游戏本身，拒绝游戏鄙视链从我做起！
点赞20W就出卡尔教学！！！！
DOTA2萌新交流群：737091478
欢迎萌新进来寻找一起开黑的小伙伴，也欢迎老DOTAer进来带萌新！"
《lol手游解说》用这玩意走中 99%中单英雄都打不过你,杨逍逍i,BV1oafUYHEfM,2025-01-27 18:00:53,10:38,736,13967,401754,1638,手机游戏,"游戏解说,英雄联盟手游,LOL手游班德尔峡谷来咯,英雄联盟手游2025迎新季",-
弹幕：听说你打不过格温！？,BBGG丶狮子喵,BV1qGoqYUE9z,2025-03-26 17:52:31,3:5,118,7457,127446,103,电子竞技,"搞笑,LOL,英雄联盟,电子竞技,狮子狗,MOBA,万物皆可游戏",弹幕：听说你打不过格温！？
